id,first_name,last_name,email,gender,date_of_birth,careeer,house,sport
111-ce-3023,Penn,BLENCOWE,pblencowe@uni.edu,Male,25/09/1998,History,,Gymnastics
111-ce-2564,Austin,STEIN,astein@uni.edu,Male,01/06/1996,IT,,
112-ee-4244,Anissa,FOURACRES,afouracres@uni.edu,Male,25/06/1996,Mathematics,Pi Gamma Rho,Volleyball
111-ce-8732,Yetty,BEWSY,ybewsy@uni.edu,Bigender,10/09/1998,Tourism & Catering,,Football
112-cc-8594,Vinni,COUSIN,vcousin@uni.edu,Male,31/07/1997,Finance,,Volleyball
111-df-3319,Norry,ALBUTT,nalbutt@uni.edu,Female,27/01/1996,Biotechnology,,Hockey
111-ab-8983,Faulkner,BOUD,fboud@uni.edu,Non-binary,08/07/1998,Law,,Volleyball
112-db-4087,Gaile,DENERLEY,gdenerley@uni.edu,Male,22/06/1997,Medicine,,Gymnastics
112-cd-2102,Nannie,MCPAIKE,nmcpaike@uni.edu,Female,18/12/1996,Psychology,Kappa Xi,
111-ce-8569,Georges,LONGCASTER,glongcaster@uni.edu,Female,21/03/1996,History,Beta Mu,
112-fb-3709,Valene,DOVINGTON,vdovington@uni.edu,Male,20/09/1997,Mathematics,Kappa Xi,Football
111-ab-2587,Hazel,JAKEL,hjakel@uni.edu,Female,10/12/1998,Litterature & Linguistics,,Swimming
111-cd-3056,Wheeler,CANSFIELD,wcansfield@uni.edu,Male,18/06/1996,Architecture,,Football
111-bd-9238,Matteo,SIMONNET,msimonnet@uni.edu,Male,05/02/1996,Biotechnology,,
111-ca-1563,Geoffry,MACKILPATRICK,gmackilpatrick@uni.edu,Male,27/07/1996,Engineering,,Football
112-ec-9933,Sam,SUFFE,ssuffe@uni.edu,Male,19/08/1997,Litterature & Linguistics,,
112-bc-2324,Alvis,BORDES,abordes@uni.edu,Male,23/07/1996,Architecture,,
111-be-4962,Prentice,CLINCH,pclinch@uni.edu,Male,25/12/1996,Gastronomy,,
111-bc-7435,Gianni,FARNIN,gfarnin@uni.edu,Male,18/08/1997,IT,,Gymnastics
111-ce-6407,Isidora,MENGUE,imengue@uni.edu,Male,20/10/1998,Finance,Pi Gamma Rho,Hockey
111-fd-3012,Kylila,ROSARIO,krosario@uni.edu,Male,20/07/1998,Psychology,Delta Magnus,
111-fa-3311,Beltran,BESQUE,bbesque@uni.edu,Non-binary,20/10/1996,Engineering,Kappa Xi,Volleyball
112-cc-6401,Murdock,FLIEG,mflieg@uni.edu,Female,29/10/1998,Finance,Tau Picore,
112-ac-8455,Felix,SPADAZZI,fspadazzi@uni.edu,Female,08/11/1998,Tourism & Catering,Kappa Xi,Tennis
111-bd-8365,Avis,CARLEMAN,acarleman@uni.edu,Female,30/11/1996,Tourism & Catering,,Martial Arts
111-ca-9386,Rhea,GLENCROSCHE,rglencrosche@uni.edu,Female,23/11/1998,Litterature & Linguistics,,Volleyball
111-ca-7298,Aridatha,OLIFFE,aoliffe@uni.edu,Male,23/10/1997,Tourism & Catering,,Basketball
111-ff-8230,Delila,EDMONSTONE,dedmonstone@uni.edu,Non-binary,17/03/1996,Architecture,,Basketball
111-af-5546,Katherina,MINIGO,kminigo@uni.edu,Female,09/12/1996,Chemistry,Beta Mu,Gymnastics
111-dc-6473,Dacy,KILFOYLE,dkilfoyle@uni.edu,Female,07/08/1998,Tourism & Catering,,
111-cf-1651,Olympe,KILLINER,okilliner@uni.edu,Male,11/08/1997,Physics,,Martial Arts
112-ae-8460,Claudio,NIXON,cnixon@uni.edu,Female,13/01/1997,Art & Culture,,Hockey
112-fe-1362,Michaelina,SKRINE,mskrine@uni.edu,Genderqueer,18/09/1997,Psychology,Zeta Omega,
112-ed-4379,Xylina,RODOLFI,xrodolfi@uni.edu,Female,27/12/1998,IT,,Martial Arts
112-df-8779,Robenia,LABROUE,rlabroue@uni.edu,Female,06/12/1997,Computer Science,Kappa Xi,
112-ad-3586,Joseph,GRASSETT,jgrassett@uni.edu,Male,28/12/1996,Tourism & Catering,Delta Magnus,Swimming
111-ce-9960,Lorilyn,HUXTER,lhuxter@uni.edu,Female,28/01/1997,Engineering,,Tennis
111-fa-3048,Jacquetta,EUL,jeul@uni.edu,Non-binary,18/12/1997,Gastronomy,Delta Magnus,
111-ab-9361,Bearnard,PARSONSON,bparsonson@uni.edu,Non-binary,03/08/1998,Journalism,Delta Magnus,
111-ee-6576,Felicio,DENISKEVICH,fdeniskevich@uni.edu,Genderfluid,15/12/1997,Journalism,Zeta Omega,Hockey
111-fc-6573,Georg,SKIPLORNE,gskiplorne@uni.edu,Male,05/07/1998,Tourism & Catering,Nu Psi Lambda,
112-ad-5104,Dianne,CHINNERY,dchinnery@uni.edu,Female,18/01/1997,Computer Science,,
111-bb-5949,Jay,COTTER,jcotter@uni.edu,Female,23/03/1997,Medicine,Kappa Xi,Swimming
111-eb-7174,Adelle,TEULIER,ateulier@uni.edu,Female,11/02/1998,History,Beta Mu,Hockey
112-dc-7539,Nisse,EIVERS,neivers@uni.edu,Male,10/10/1997,Business Administration,,
112-fa-5626,Roxine,BURNHAMS,rburnhams@uni.edu,Male,18/11/1996,Law,,Football
111-df-2991,Eveline,MOGFORD,emogford@uni.edu,Male,17/06/1998,Mathematics,Beta Mu,
112-dd-5416,Derrick,ACLAND,dacland@uni.edu,Male,01/05/1996,Business Administration,,
112-fc-9909,Britte,SIMMS,bsimms@uni.edu,Female,07/12/1996,Medicine,,
111-fb-5271,Marta,BANKES,mbankes@uni.edu,Female,27/02/1996,Chemistry,,Hockey
112-fb-2142,Hamlin,HARDER,hharder@uni.edu,Female,20/02/1998,History,,
111-fa-5083,Shani,FALLANCHE,sfallanche@uni.edu,Female,18/04/1997,Tourism & Catering,Tau Picore,Hockey
111-ec-3024,Peg,KEPPEL,pkeppel@uni.edu,Male,16/08/1996,Finance,Beta Mu,Football
111-aa-7270,Mattie,FULLARD,mfullard@uni.edu,Genderqueer,17/06/1998,Architecture,,
112-bc-3322,Obadiah,SLEVIN,oslevin@uni.edu,Female,19/08/1997,History,,
112-fb-2112,Hester,DANSKINE,hdanskine@uni.edu,Female,25/12/1996,Litterature & Linguistics,Tau Picore,Basketball
112-ef-7712,Cassie,ESCHALETTE,ceschalette@uni.edu,Male,03/06/1996,Art & Culture,,Basketball
