id,first_name,last_name,email,gender,date_of_birth,study,ganghood,sport,graduation_year
118-2785,Milton,FISHPOOLE,mfishpoole@uni.edu,Female,08/02/1998,Biotechnology,,,2022
117-4042,Ray,GIFFKINS,rgiffkins@uni.edu,Male,02/01/1997,IT,,,2024
111-1390,Lambert,EDGEHILL,ledgehill@uni.edu,Female,13/12/1996,Business Administration,,,2022
112-1945,Veriee,ZUM FELDE,vzumfelde@uni.edu,Male,01/09/1998,Agronomy,Zeta Omega,Rowing,2024
118-8825,Hildagard,CRICK,hcrick@uni.edu,Female,01/04/1998,Litterature & Linguistics,,,2022
116-9142,Gabbey,DABNOR,gdabnor@uni.edu,Male,09/10/1997,Computer Science,,,2024
112-4294,Shadow,VASENIN,svasenin@uni.edu,Male,17/07/1996,Business Administration,,,2023
112-5098,Franz,THORBY,fthorby@uni.edu,Male,20/06/1996,Journalism,,Hockey,2024
115-7914,Lanny,DELIA,ldelia@uni.edu,Female,28/06/1998,Litterature & Linguistics,,,2022
111-4288,Ferrel,LEUCHARS,fleuchars@uni.edu,Female,14/11/1997,Finance,,,2023
116-2279,Ramsay,BEANY,rbeany@uni.edu,Male,12/02/1998,Mathematics,,,2024
119-3656,Denver,DI MEO,ddimeo@uni.edu,Female,21/12/1998,Chemistry,Tau Picore,Gymnastics,2024
117-2281,Ursuline,PRETSWELL,upretswell@uni.edu,Male,04/10/1996,Business Administration,,Basketball,2024
117-8471,Cello,SKURES,cskures@uni.edu,Male,03/09/1996,Journalism,,Soccer,2023
113-5551,Shae,CHRISTALL,schristall@uni.edu,Female,20/01/1997,Psychology,,,2023
111-8741,Bertrand,JIGGLE,bjiggle@uni.edu,Genderfluid,09/08/1998,Physics,,,2022
114-2761,Heda,CALLACHER,hcallacher@uni.edu,Male,31/03/1996,Finance,,,2024
116-5681,Mureil,LONGCAKE,mlongcake@uni.edu,Female,10/02/1998,History,,,2023
117-2658,Brandea,PEERMAN,bpeerman@uni.edu,Male,30/03/1996,Finance,,Hockey,2022
112-1153,Berny,MAY,bmay@uni.edu,Male,09/12/1996,Computer Science,,,2022
112-9790,Gwendolin,JAFFRAY,gjaffray@uni.edu,Female,15/10/1996,Chemistry,,,2022
117-3065,Eba,GOWANSON,egowanson@uni.edu,Male,06/08/1998,Tourism & Catering,,,2023
112-4068,Millie,BANTHORPE,mbanthorpe@uni.edu,Male,26/07/1996,Journalism,,Volleyball,2022
113-3617,Josee,GORES,jgores@uni.edu,Female,15/08/1996,Architecture,Nu Phi Lambda,Martial Arts,2024
114-4598,Griffin,TOTHACOT,gtothacot@uni.edu,Female,26/10/1997,Journalism,,,2022
116-9823,Robbin,CARDOZO,rcardozo@uni.edu,Female,10/07/1997,History,,Swimming,2024
117-1933,Paquito,KILDAHL,pkildahl@uni.edu,Male,12/02/1996,History,,,2023
114-6239,Tremain,STROUD,tstroud@uni.edu,Female,12/01/1997,Art & Culture,,Volleyball,2024
115-5900,Burke,GUILFORD,bguilford@uni.edu,Female,09/01/1996,Biotechnology,,,2023
119-7963,Timmie,WORDINGTON,twordington@uni.edu,Female,21/01/1998,Psychology,,,2022
118-8241,Far,HUTCHENCE,fhutchence@uni.edu,Male,25/03/1998,Business Administration,,,2024
116-8821,Gwynne,MARROW,gmarrow@uni.edu,Male,29/03/1996,Gastronomy,,,2024
112-8246,Jo-anne,KERMODE,jkermode@uni.edu,Bigender,16/07/1997,Art & Culture,,,2023
117-3566,Viv,WARBOY,vwarboy@uni.edu,Non-binary,15/06/1997,Computer Science,,,2024
115-7369,Vaclav,CULSHEW,vculshew@uni.edu,Female,22/08/1998,Architecture,,Swimming,2022
118-3999,Sheila,O'HARTIGAN,sohartigan@uni.edu,Agender,09/10/1996,Chemistry,,Swimming,2024
113-7638,Alberik,HOUNSOME,ahounsome@uni.edu,Polygender,20/07/1997,Computer Science,,,2022
116-4779,Ethelyn,ATTRIE,eattrie@uni.edu,Female,30/04/1996,Agronomy,,,2024
115-2240,Genvieve,KINGSWOODE,gkingswoode@uni.edu,Female,10/10/1998,Art & Culture,,Martial Arts,2023
115-2772,Ber,WATTINGHAM,bwattingham@uni.edu,Male,19/11/1997,Medicine,,,2024
115-7388,Vin,LEANEY,vleaney@uni.edu,Male,21/08/1996,Medicine,,Hockey,2022
111-8157,Osborn,MCCLEMENTS,omcclements@uni.edu,Male,10/02/1998,Mathematics,,,2023
116-9508,Terencio,PASCOW,tpascow@uni.edu,Male,04/03/1997,Computer Science,,,2024
115-2283,Payton,ROELS,proels@uni.edu,Male,17/01/1997,Business Administration,,,2023
116-6816,Benetta,TEWES,btewes@uni.edu,Female,28/08/1997,Psychology,,,2024
113-4504,Ned,MILEHAM,nmileham@uni.edu,Male,05/02/1996,Physics,,,2022
116-2741,Waverley,SALEWAY,wsaleway@uni.edu,Female,08/06/1996,Chemistry,,,2023
114-2160,Deeanne,MCCROARY,dmccroary@uni.edu,Genderfluid,12/11/1996,Law,,,2022
115-4094,Sandor,VODDEN,svodden@uni.edu,Female,02/06/1996,Gastronomy,,,2023
114-4682,Francklin,RUBINFELD,frubinfeld@uni.edu,Polygender,13/02/1997,Chemistry,,,2022
115-1455,Tanny,DIMITRIADES,tdimitriades@uni.edu,Female,09/12/1997,Finance,Epsilon,,2024
112-1923,Carolann,HIRTHE,chirthe@uni.edu,Male,22/10/1996,Mathematics,,Martial Arts,2022
116-2530,Issy,COURAGE,icourage@uni.edu,Polygender,17/02/1998,Medicine,,Swimming,2023
119-8151,Denis,KONMANN,dkonmann@uni.edu,Female,19/07/1996,Architecture,,,2024
117-7455,Danette,VERDON,dverdon@uni.edu,Male,12/05/1996,IT,,Gymnastics,2024
112-4364,Lotta,GIEREK,lgierek@uni.edu,Female,30/06/1998,Art & Culture,,Rowing,2022
114-5040,Jemmie,FLITCROFT,jflitcroft@uni.edu,Polygender,16/10/1996,Physics,,Volleyball,2024
119-9737,Fancie,CHESTER,fchester@uni.edu,Female,12/12/1996,Business Administration,,,2023
118-1950,Tilda,KLEINMANN,tkleinmann@uni.edu,Female,31/12/1998,Physics,,,2024
112-3143,Archaimbaud,SUMSHON,asumshon@uni.edu,Female,26/07/1998,Chemistry,Tau Picore,,2023
