ID,First Name,Last Name,DOB,Gender,Email,Career,Graduation Year,Sport,Club Affiliation
115-01-3648,Nell,GREYSTOKE,16/06/1998,Male,ngreystoke@uni.edu,Gastronomy,2023,,
115-08-7483,Caria,BREEDE,08/12/1998,Bigender,cbreede@uni.edu,Gastronomy,2024,Rowing,
115-08-5725,Mirna,NATTRASS,27/05/1996,Male,mnattrass@uni.edu,Litterature & Linguistics,2023,,
117-02-3108,Malva,PICHEFORD,11/04/1997,Polygender,mpicheford@uni.edu,Law,2024,,
116-06-1003,Ellsworth,MCCARVER,11/02/1996,Male,emccarver@uni.edu,Chemistry,2024,,
111-09-9802,Chastity,PALOMBA,12/02/1997,Non-binary,cpalomba@uni.edu,IT,2022,,
115-06-9988,Brittany,ROULSTON,22/05/1997,Non-binary,broulston@uni.edu,Tourism & Catering,2023,,
116-04-4918,Irena,BRINDLE,13/09/1998,Non-binary,ibrindle@uni.edu,Biotechnology,2022,,
116-03-6768,Clementia,LE MAITRE,09/11/1996,Male,clemaitre@uni.edu,Mathematics,2024,Martial Arts,
118-09-6023,Heidi,HONYWILL,22/10/1997,Non-binary,hhonywill@uni.edu,Architecture,2022,,
114-07-7721,Urbanus,RADWELL,28/11/1997,Male,uradwell@uni.edu,Biotechnology,2023,,
116-09-4093,Junina,CHAUNCE,06/11/1998,Female,jchaunce@uni.edu,History,2022,Basketball,
116-09-3035,Erika,BERKELY,27/12/1996,Female,eberkely@uni.edu,IT,2024,,
111-01-9962,Rochell,JOLIN,17/07/1996,Male,rjolin@uni.edu,Agronomy,2023,,
115-09-1225,Ive,MAPSTON,26/06/1998,Male,imapston@uni.edu,Mathematics,2022,Rowing,
115-04-4489,Marguerite,HEIKKINEN,17/08/1996,Male,mheikkinen@uni.edu,IT,2024,,
116-02-9232,Sibyl,LAZARE,03/09/1998,Female,slazare@uni.edu,History,2023,Hockey,
114-09-2406,Glory,LOUTH,07/05/1998,Male,glouth@uni.edu,Biotechnology,2022,,
117-06-9297,Sibyl,HOUSIAUX,10/08/1998,Male,shousiaux@uni.edu,Biotechnology,2024,,
111-07-2460,Wilburt,CHILDES,20/03/1997,Agender,wchildes@uni.edu,Physics,2024,Hockey,
117-04-4654,Jeannette,BURRAS,27/09/1997,Male,jburras@uni.edu,Computer Science,2023,Swimming,Delta Magnus
111-03-8094,Ransell,SCUTCHIN,29/08/1996,Male,rscutchin@uni.edu,Journalism,2023,Football,
117-05-8262,Trudey,MENEGO,13/10/1996,Male,tmenego@uni.edu,Mathematics,2024,,
118-09-4409,Lanny,THISTLETON,13/11/1996,Male,lthistleton@uni.edu,History,2023,,Delta Magnus
118-09-5505,Ashly,YOCKNEY,28/12/1997,Male,ayockney@uni.edu,Art & Culture,2024,,
117-03-4071,Barbabra,BUSEN,03/06/1996,Male,bbusen@uni.edu,Computer Science,2023,Football,
117-03-9685,Clari,FAIRBANKS,18/07/1998,Male,cfairbanks@uni.edu,History,2023,,
118-03-6965,Merrili,TYAS,18/05/1997,Male,mtyas@uni.edu,Chemistry,2023,Track & Field,
119-03-8081,Hank,DUIGUID,27/06/1996,Genderfluid,hduiguid@uni.edu,Law,2023,,
111-03-5245,Dmitri,THIES,20/11/1996,Male,dthies@uni.edu,Law,2024,,
117-03-6569,Karlotta,JANOVSKY,23/05/1996,Male,kjanovsky@uni.edu,IT,2022,Hockey,
111-01-7941,Colette,STANDLEY,31/07/1997,Male,cstandley@uni.edu,Chemistry,2022,Basketball,
118-02-8487,Aubine,WEAVILL,21/12/1998,Male,aweavill@uni.edu,Chemistry,2022,Swimming,
116-07-1369,Evyn,CUTCLIFFE,10/06/1996,Female,ecutcliffe@uni.edu,Litterature & Linguistics,2023,Martial Arts,
116-07-7706,Kimbell,PATNELLI,22/05/1997,Male,kpatnelli@uni.edu,Chemistry,2024,,
117-01-5017,Kain,SHEARMAN,24/05/1996,Male,kshearman@uni.edu,Mathematics,2022,Football,
113-01-4300,Morgan,MIDDLEBROOK,24/11/1996,Male,mmiddlebrook@uni.edu,Biotechnology,2023,,
113-06-6595,Emelen,MANKOR,24/12/1997,Female,emankor@uni.edu,Architecture,2024,,
116-02-9856,Erik,GIANUZZI,23/01/1998,Male,egianuzzi@uni.edu,Medicine,2022,,
118-09-8183,Angie,MOORES,09/09/1997,Female,amoores@uni.edu,History,2023,,
112-04-9852,Seymour,VIVEASH,06/11/1997,Female,sviveash@uni.edu,Chemistry,2023,,
119-01-9445,Arel,KONDRATENKO,26/06/1996,Female,akondratenko@uni.edu,IT,2023,Basketball,
119-09-5830,Dru,BOTTING,20/09/1996,Male,dbotting@uni.edu,IT,2024,Rowing,
119-02-7323,Aviva,IANSON,07/11/1997,Female,aianson@uni.edu,Law,2023,,
119-09-8892,Gwendolin,FOLKE,05/06/1997,Female,gfolke@uni.edu,Gastronomy,2023,,
111-05-9956,Allis,BIGLAND,06/03/1998,Male,abigland@uni.edu,Mathematics,2023,,
117-04-5122,Claudina,DRANE,15/11/1996,Male,cdrane@uni.edu,Art & Culture,2022,,
117-01-5556,Brendon,TAMBLING,22/12/1998,Female,btambling@uni.edu,Chemistry,2023,,
111-01-4347,Billye,VAN DEN DAEL,21/08/1998,Male,bvandendael@uni.edu,Art & Culture,2024,Hockey,
113-07-9565,Theresina,SOEIRO,22/01/1997,Female,tsoeiro@uni.edu,Tourism & Catering,2024,,
118-06-6876,Teodoor,ABRAHAMSSON,22/10/1998,Male,tabrahamsson@uni.edu,Biotechnology,2022,Basketball,
113-04-4898,Wilmar,BURTWHISTLE,20/04/1998,Female,wburtwhistle@uni.edu,Tourism & Catering,2024,Gymnastics,
112-01-6054,Merna,TREMEER,09/02/1997,Female,mtremeer@uni.edu,History,2023,,
117-09-5425,Zoe,ALCIDE,23/11/1996,Genderfluid,zalcide@uni.edu,Engineering,2023,,Zeta Omega
119-08-9145,Raina,AYLOTT,01/11/1998,Genderfluid,raylott@uni.edu,Computer Science,2022,,Nu Phi Lambda
